IRStationCode,InstrumentEraStart,InstrumentEraEnd,Instrument,GalvoFreePeriod (seconds),GalvoDampingConst,Azimuth,Dip
ALE,1961-09-29,1962-02-14,Columbia LPE,,,,
ALE,1961-09-29,1962-02-14,Columbia LPN,,,,
ALE,1961-09-29,1962-02-14,Columbia LPZ,,,,
ALE,1961-09-29,1962-02-14,Willmore SPN,,,,
ALE,1961-09-29,1962-02-14,Willmore SPZ,,,,
ALE,1962-02-14,,Willmore SPZ,,,,
ALE,1962-02-14,,Columbia LPE,,,,
ALE,1962-02-14,,Columbia LPN,,,,
ALE,1962-02-14,,Columbia LPZ,,,,
ALE,1962-02-14,,Willmore SPE,,,,
ALE,1962-02-14,,Willmore SPN,,,,
BLC,1965-07-26,1977-06-22,Columbia LPN,,,,
BLC,1965-07-26,1977-06-22,Columbia LPZ,,,,
BLC,1965-07-26,1977-06-22,Willmore SPE,,,,
BLC,1965-07-26,1977-06-22,Willmore SPN,,,,
BLC,1965-07-26,1977-06-22,Willmore SPZ,,,,
BLC,1965-07-26,1977-06-22,Columbia LPE,,,,
CHQ,1971-11-11,1982-07-04,GEOTECH SPZ S-13,,,,
EDM,1963-04-19,,Columbia LPE,,,,
EDM,1963-04-19,,Columbia LPN,,,,
EDM,1963-04-19,,Columbia LPZ,,,,
EDM,1963-04-19,,Willmore SPE,,,,
EDM,1963-04-19,,Willmore SPN,,,,
EDM,1963-04-19,,Willmore SPZ,,,,
FCC,1965-05-12,1984-06-05,Columbia LPN,,,,
FCC,1965-05-12,1984-06-05,Columbia LPE,,,,
FCC,1965-05-12,1984-06-05,Columbia LPZ,,,,
FCC,1965-05-12,1984-06-05,Willmore SPN,,,,
FCC,1965-05-12,1984-06-05,Willmore SPE,,,,
FCC,1965-05-12,1984-06-05,Willmore SPZ,,,,
FFC,1965-05-12,,Columbia LPN,,,,
FFC,1965-05-12,,Columbia LPE,,,,
FFC,1965-05-12,,Columbia LPZ,,,,
FFC,1965-05-12,,Willmore SPN,,,,
FFC,1965-05-12,,Willmore SPE,,,,
FFC,1965-05-12,,Willmore SPZ,,,,
UNB,1971-04-01,,Willmore SPZ,,,,
FRB,1972-12-01,,Columbia LPN,,,,
FRB,1972-12-01,,Columbia LPE,,,,
FRB,1972-12-01,,Columbia LPZ,,,,
FRB,1972-12-01,,Willmore SPE,,,,
FRB,1972-12-01,,Willmore SPN,,,,
FRB,1972-12-01,,Willmore SPZ,,,,
FSJ,1965-02-22,1979-04-17,Columbia LPN,,,,
FSJ,1965-02-22,1979-04-17,Columbia LPE,,,,
FSJ,1965-02-22,1979-04-17,Columbia LPZ,,,,
FSJ,1965-02-22,1979-04-17,Willmore SPE,,,,
FSJ,1965-02-22,1979-04-17,Willmore SPN,,,,
FSJ,1965-02-22,1979-04-17,Willmore SPZ,,,,
HAL,1915,1938-12-31,Mainka N (smoked paper),10,5-7,0,0
HAL,1915,1938-12-31,Mainka E (smoked paper),10,5-7,90,0
HAL,1939-01-01,1952-07-30,Bosch N (photographic),,,0,0
HAL,1939-01-01,1952-07-30,Bosch E (photographic),,,90,0
HAL,1952-07-01,1957-09-04,Benioff SPZ,,,0,-90
HAL,1952-07-01,1956-11-24,Benioff LPZ,,,0,-90
HAL,1952-07-01,1960-06-01,Sprengnether LPH,,,,
HAL,1956-11-24,1967-08-01,Wilmore SPZ,,,0,-90
HAL,1960-06-10,1971-03-24,Columbia LP,,,,
HAL,1967-08-07,1971-03-25,Willmore SP,,,,
HAL,1971-04-01,,Willmore SPZ only,,,0,-90
INK,1969-09-25,,Columbia LPE,,,,
INK,1969-09-25,,Columbia LPN,,,,
INK,1969-09-25,,Columbia LPZ,,,,
INK,1969-09-25,,Willmore SPN,,,,
INK,1969-09-25,,Willmore SPE,,,,
INK,1969-09-25,,Willmore SPZ,,,,
KILO,1939-12-31,1945-11-01,Converted Heiland field seismometer SPZ,,,0,-90
KILO,1947-08-01,1950-04-13,Sprengnether SPZ,,,0,-90
KILO,1950-04-14,1956-01-30,Sprengnether SPZ,,,,
